FIELD_pipeline,FIELD_plantingSeason,year_loc,var_ID,dis_press,lat,lon,scaled_val
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,CSDPF_FUSASP,87.0260938,20.089639,-99.198472,4.18146056515726
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,CSDPF_ZZXXFF,0,20.089639,-99.198472,-0.176451566510655
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,EROTP_DIPDMA,0,20.089639,-99.198472,-0.405006912828009
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,EROTP_FUSASP,20,20.089639,-99.198472,4.70775464710353
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,EROTP_GIBBZE,0,20.089639,-99.198472,-0.720515824623655
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,EROTP_USTIMA,0,20.089639,-99.198472,-0.502895631308742
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,LDICE_SPIRKU,0,20.089639,-99.198472,-0.276247310054915
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,LDSR_CERCZM,0,20.089639,-99.198472,-1.16143684613534
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,LDSR_CURVSP,0,20.089639,-99.198472,-1.12522842005815
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,LDSR_DIPDMA,0,20.089639,-99.198472,-0.137870462619119
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,LDSR_PHYDMA,0,20.089639,-99.198472,-1.33713496382443
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,LDSR_PHYRMA,0,20.089639,-99.198472,-0.429326676836742
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,LDSR_PUCCPY,0,20.089639,-99.198472,-0.118678165819385
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,LDSR_PUCCSO,4.2,20.089639,-99.198472,0.990894522651525
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,LDSR_SETOTU,0,20.089639,-99.198472,-1.16369374810658
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA01_TLAXCOAPAN_ANCR_V,LDSR_TARSC,0,20.089639,-99.198472,-0.22561036762187
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,CSDPF_FUSASP,62.1281968,20.062221,-99.26164,2.70515965296044
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,CSDPF_ZZXXFF,0,20.062221,-99.26164,-0.176451566510655
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,EROTP_DIPDMA,0,20.062221,-99.26164,-0.405006912828009
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,EROTP_FUSASP,12,20.062221,-99.26164,2.6946637974926
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,EROTP_GIBBZE,1.99999999999999,20.062221,-99.26164,-0.269682436805329
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,EROTP_USTIMA,0,20.062221,-99.26164,-0.502895631308742
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,LDICE_SPIRKU,0,20.062221,-99.26164,-0.276247310054915
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,LDSR_CERCZM,0,20.062221,-99.26164,-1.16143684613534
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,LDSR_CURVSP,3,20.062221,-99.26164,0.909352679028319
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,LDSR_DIPDMA,0,20.062221,-99.26164,-0.137870462619119
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,LDSR_PHYDMA,0,20.062221,-99.26164,-1.33713496382443
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,LDSR_PHYRMA,0,20.062221,-99.26164,-0.429326676836742
ME2 MID ALTITUDE,2021,2021.GEFQZ_FA02_TULA_ELPE_V,LDSR_PUCCPY,0,20.062221,-99.26164,-0.118678165819385
