FIELD_name,commercialName,trt,Not Applicable_YLD_N/A,30DAA_LDSR_PUCCSO,Application A_LDSR_PUCCSO,R3_LDSR_PUCCSO,R3_LDSR_SETOTU,R4_LDSR_PUCCSO,R4_LDSR_SETOTU,R5_LDSR_PUCCSO,R5_LDSR_SETOTU,V7_LDSR_SETOTU,R1_LDSR_SETOTU,R4_LDSR_PSDMAV,VT_LDSR_PUCCSO,R6_LDSR_PUCCSO,Not Applicable_LDSR_PUCCSO,Not Applicable_LDSR_SETOTU,V12_LDSR_PUCCSO
CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,DK7210PRO4,CHECK,77.401481,,,,,,,,,,,,,,,,
CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,DK7210PRO4,CRIPTON_XPRO,70.323809,,,,,,,,,,,,,,,,
CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,DK7220VTPRO4,CHECK,85.02561,,,,,,,,,,,,,,,,
CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,DK7220VTPRO4,CRIPTON_XPRO,87.904761,,,,,,,,,,,,,,,,
CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,P2089VYHR,CHECK,82.752276,,,,,,,,,,,,,,,,
CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,P2089VYHR,CRIPTON_XPRO,82.603037,,,,,,,,,,,,,,,,
CSALO9_TRESISLETAS_MATESA_FFUNG22,DK7210PRO4,CHECK,55.037291,,,,,,,,,,,,,,,,
CSALO9_TRESISLETAS_MATESA_FFUNG22,DK7210PRO4,CRIPTON_XPRO,41.55,,,,,,,,,,,,,,,,
CSALO9_TRESISLETAS_MATESA_FFUNG22,DK7220VTPRO4,CHECK,63.962257,,,,,,,,,,,,,,,,
CSALO9_TRESISLETAS_MATESA_FFUNG22,DK7220VTPRO4,CRIPTON_XPRO,50.514167,,,,,,,,,,,,,,,,
CSALO9_TRESISLETAS_MATESA_FFUNG22,P2089VYHR,CHECK,42.444421,,,,,,,,,,,,,,,,
CSALO9_TRESISLETAS_MATESA_FFUNG22,P2089VYHR,CRIPTON_XPRO,41.949481,,,,,,,,,,,,,,,,
DBORE_PASCANAS_BERTODO_EARLY_FFUNG22,AX7761VT3P,CHECK,,0,0,,,,,,,,,,,,,,
DBORE_PASCANAS_BERTODO_EARLY_FFUNG22,AX7761VT3P,CRIPTON_XPRO,,0,0,,,,,,,,,,,,,,
DBORE_PASCANAS_BERTODO_EARLY_FFUNG22,DK7210VT3P,CHECK,,0,0,0,0,,,,,,,,,,,,
DBORE_PASCANAS_BERTODO_EARLY_FFUNG22,DK7210VT3P,CRIPTON_XPRO,,0,0,,,,,,,,,,,,,,
DBORE_PASCANAS_BERTODO_EARLY_FFUNG22,DK7272TRE,CHECK,,0,0,,,,,,,,,,,,,,
DBORE_PASCANAS_BERTODO_EARLY_FFUNG22,DK7272TRE,CRIPTON_XPRO,,0,0,,,,,,,,,,,,,,
DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,AX7761VT3P,CHECK,61.31,0,0,,,,,,,,,,,,,,
DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,AX7761VT3P,CRIPTON_XPRO,61.191979,0,0,,,,,,,,,,,,,,
DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,DK7210VT3P,CHECK,55.02,0,0,,,0,0,,,,,,,,,,
DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,DK7210VT3P,CRIPTON_XPRO,53.372781,0,0,,,,,,,,,,,,,,
DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,DK7272TRE,CHECK,66.68,0,0,,,,,,,,,,,,,,
DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,DK7272TRE,CRIPTON_XPRO,66.47574,0,0,,,,,,,,,,,,,,
DBORE_SARMIENTO_CHIALVA_LATE_FUNG22 _(EX-GCHWS),AX7761VT3P,CHECK,88.04,0,0,,,,,,,,,,,,,,
DBORE_SARMIENTO_CHIALVA_LATE_FUNG22 _(EX-GCHWS),AX7761VT3P,CRIPTON_XPRO,98.581774,0,0,,,,,,,,,,,,,,
