FIELD_Country,FIELD_field_latitude,FIELD_field_longitude,FIELD_name,FIELD_County,FIELD_plantingSeason,FIELD_pipeline,FIELD_year,commercialName,createdBrand,createdTechnology,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,REP_repetitionNumber,QC_Flag,OBS_growthStage,protocolTitle,SETS_setName
Argentina,-30.7798454,-64.0809429,DBORE_SARMIENTO_CHIALVA_LATE_FUNG22 _(EX-GCHWS),Colon,2022,South,2022,DK7272TRE,,,LDSR,PUCCSO,0,1,,Application A,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,DK7210RR2,DEKALB,,YLD,N/A,54.511618,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA1
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,AX7452MQK1,,,YLD,N/A,70.579559,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA1
Argentina,-36.869191030596,-59.913329500802,RLOPE1_AZUL_SCHANG_LATE_FFUNG22,Azul,2022,South,2022,DK7272TRE,,,LDSR,PUCCSO,0,1,,30DAA,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-32.74015408,-62.53816159,DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,Union,2022,South,2022,AX7761VT3P,NIDERA,VT3P,LDSR,PUCCSO,0,1,,30DAA,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,DK7447VT3P,DEKALB,,YLD,N/A,65.989487,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA1
Argentina,-36.869191030596,-59.913329500802,RLOPE1_AZUL_SCHANG_LATE_FFUNG22,Azul,2022,South,2022,DK7270VT3P,DEKALB,,YLD,N/A,78.74,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-32.41625391,-58.89799788,VVSENK_GILBERT_ECKERDT_EARLY_FFUNG22,Gualeguaychu,2022,South,2022,DK7220VTPRO4,DEKALB,PRO4,YLD,N/A,57.964014,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,AX7761VT3P,NIDERA,VT3P,YLD,N/A,86.6,1,,Not Applicable,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTBP
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,DK7210VT3P,DEKALB,,LDSR,SETOTU,0,1,,R4,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTAP
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,BRV8472PWU,,,YLD,N/A,72.098892,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA1
Argentina,-30.7798454,-64.0809429,DBORE_SARMIENTO_CHIALVA_LATE_FUNG22 _(EX-GCHWS),Colon,2022,South,2022,DK7270VT3P,DEKALB,,YLD,N/A,94.05,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-23.36341,-64.053705,SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,Oran,2022,North,2023,DK7220VTPRO4,DEKALB,PRO4,LDSR,PUCCSO,1,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-27.013662,-64.906073,SRUIZ_LOSPEREYRA_BENITO1_FFUNG22,Cruz Alta,2022,North,2022,DK7210VT3P,DEKALB,,LDSR,SETOTU,0,1,,R4,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-36.1538758,-62.5857026,GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,Trenque Lauquen,2022,South,2022,DK7272TRE,,,LDSR,PUCCSO,1,1,,30DAA,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,DK7210VT3P,DEKALB,,YLD,N/A,87.260753,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,NEXT226PWE,,,YLD,N/A,84.55,1,,Not Applicable,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTBP
Argentina,-36.153025609237,-62.583586182819,GLNQJ_TRENQUELAUQUEN_YARZA_EARLY_FFUNG22,Trenque Lauquen,2022,South,2022,NEXT226PWE,,,YLD,N/A,105.76,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,DK7270TRE,,,YLD,N/A,83.54,1,,Not Applicable,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTBP
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,DK7210VT3P,DEKALB,,LDSR,SETOTU,0,1,,R4,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTBP
Argentina,-33.122319,-63.076649,DBORE_PASCANAS_BERTODO_EARLY_FFUNG22,Union,2022,South,2022,AX7761VT3P,NIDERA,VT3P,LDSR,PUCCSO,0,1,,30DAA,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-32.74015408,-62.53816159,DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,Union,2022,South,2022,DK7210VT3P,DEKALB,,YLD,N/A,53.372781,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-32.5546041,-64.3840154,GGBLAN_ELENA_BUSILLI_EARLY_GEO_FFUNG22,Rio Cuarto,2022,South,2022,DK7272TRE,,,LDSR,PUCCSO,0,1,,Application A,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTBP
Argentina,-30.7798454,-64.0809429,DBORE_SARMIENTO_CHIALVA_LATE_FUNG22 _(EX-GCHWS),Colon,2022,South,2022,AX7289MQK1,,,YLD,N/A,91.86,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
